Resume,Job Title,Requisition ID,Department,Location,Similarity Score
ML Resume Suhas Ramesh.pdf,Senior Data Scientist,R-2148518,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.7155122756958008
ML Resume Suhas Ramesh.pdf,"(USA) Senior Manager, Data Analytics",R-2154982,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.71422278881073
ML Resume Suhas Ramesh.pdf,"(USA) Senior Manager, Data Analytics",R-2124281,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.7125105857849121
ML Resume Suhas Ramesh.pdf,"Senior Director, Data Science – Walmart Connect – Head of Pricing & Yield Analytics",R-2126555,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"HOBOKEN, NJ",0.7111382484436035
ML Resume Suhas Ramesh.pdf,"Data Scientist, Sam’s Member Engagement",R-2148534,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.70149165391922
ML Resume Suhas Ramesh.pdf,Senior Data Scientist,R-2148535,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6975196599960327
ML Resume Suhas Ramesh.pdf,Senior Data Scientist,R-2148523,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6965136528015137
ML Resume Suhas Ramesh.pdf,Senior Data Scientist,R-2148506,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6948736906051636
ML Resume Suhas Ramesh.pdf,Senior Data Scientist,R-2148517,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6815348267555237
ML Resume Suhas Ramesh.pdf,"Director, Data Analytics – Contribution Profit Intelligence",R-2114193,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6752163171768188
ML Resume Suhas Ramesh.pdf,Data Scientist,R-2148513,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6510200500488281
ML Resume Suhas Ramesh.pdf,Senior Data Scientist,R-2148524,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6427938342094421
ML Resume Suhas Ramesh.pdf,"Senior Manager, Data Analytics - Product and Marketing Analytics",R-2091244,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.628936767578125
ML Resume Suhas Ramesh.pdf,"Senior Manager, Advanced Analytics",R-2148532,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6167334318161011
ML Resume Suhas Ramesh.pdf,"Senior Manager, Data Science",R-2147750,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6153770685195923
ML Resume Suhas Ramesh.pdf,Data Scientist III,R-2149273,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.5756487846374512
SE Resume Suhas Ramesh.pdf,"(USA) Director, Data Analytics",R-2140275,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.7599897384643555
SE Resume Suhas Ramesh.pdf,"(USA) Manager, Advanced Analytics",R-2155352,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.7594711780548096
SE Resume Suhas Ramesh.pdf,"Senior Manager, Data Analytics",R-2114848,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.7588933706283569
SE Resume Suhas Ramesh.pdf,Staff Data Analyst,R-2147731,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.7401490211486816
SE Resume Suhas Ramesh.pdf,Data Scientist III,R-2149267,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.7396740913391113
SE Resume Suhas Ramesh.pdf,"(USA) Manager, Data Analytics",R-2155309,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.7365436553955078
SE Resume Suhas Ramesh.pdf,Data Scientist III,R-2149258,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.7295068502426147
SE Resume Suhas Ramesh.pdf,"Senior Data Scientist, Member Engagement",R-2148780,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.7254390716552734
SE Resume Suhas Ramesh.pdf,"(USA) Senior Manager, Advanced Analytics",R-2155332,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.7249854207038879
SE Resume Suhas Ramesh.pdf,"(USA) Senior Manager, Data Analytics",R-2154982,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6923167705535889
SE Resume Suhas Ramesh.pdf,"Senior Director, Data Science – Walmart Connect – Head of Pricing & Yield Analytics",R-2126555,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"HOBOKEN, NJ",0.6838515996932983
SE Resume Suhas Ramesh.pdf,Senior Data Scientist,R-2148518,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6759509444236755
SE Resume Suhas Ramesh.pdf,"(USA) Senior Manager, Data Analytics",R-2124281,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6713883876800537
SE Resume Suhas Ramesh.pdf,"Director, Data Analytics – Contribution Profit Intelligence",R-2114193,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6672265529632568
SE Resume Suhas Ramesh.pdf,"Data Scientist, Sam’s Member Engagement",R-2148534,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6585920453071594
SE Resume Suhas Ramesh.pdf,Senior Data Scientist,R-2148535,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.657950222492218
SE Resume Suhas Ramesh.pdf,Senior Data Scientist,R-2148506,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6497232913970947
SE Resume Suhas Ramesh.pdf,Senior Data Scientist,R-2148523,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6487164497375488
SE Resume Suhas Ramesh.pdf,Senior Data Scientist,R-2148517,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6353219151496887
SE Resume Suhas Ramesh.pdf,Data Scientist,R-2148513,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.6138933897018433
SE Resume Suhas Ramesh.pdf,"Senior Manager, Advanced Analytics",R-2148532,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.5934712290763855
SE Resume Suhas Ramesh.pdf,"Senior Manager, Data Analytics - Product and Marketing Analytics",R-2091244,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.592095673084259
SE Resume Suhas Ramesh.pdf,Senior Data Scientist,R-2148524,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.5891894698143005
SE Resume Suhas Ramesh.pdf,"Senior Manager, Data Science",R-2147750,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.5526304244995117
SE Resume Suhas Ramesh.pdf,Data Scientist III,R-2149273,DATA ANALYTICS AND BUSINESS INTELLIGENCE,"BENTONVILLE, AR",0.5322232842445374
